name	version
NM_000947	5
NM_000948	6
NM_000949	7
NM_000950	3
NM_000951	3
NM_000952	5
NM_000953	3
NM_000954	6
NM_000955	3
NM_000956	4
NM_000958	3
NM_000959	4
NM_000960	4
NM_000961	4
NM_000962	4
NM_000963	4
NM_000964	4
NM_000965	4
NM_000966	6
NM_000967	4
NM_000968	4
NM_000969	5
NM_000970	5
NM_000971	4
NM_000972	3
NM_000973	5
NM_000975	5
NM_000976	4
NM_000977	3
NM_000978	4
NM_000979	4
NM_000980	4
NM_000981	4
NM_000982	3
NM_000983	4
NM_000984	6
NM_000985	5
NM_000986	4
NM_000987	5
NM_000988	5
NM_000989	4
NM_000990	5
NM_000991	5
NM_000992	3
NM_000993	5
NM_000994	4
NM_000995	4
NM_000996	4
NM_000997	5
NM_000998	5
NM_000999	4
NM_001000	4
NM_001001	5
NM_001001132	2
NM_001001290	1
NM_001001317	5
NM_001001323	2
NM_001001325	2
NM_001001329	2
NM_001001330	3
NM_001001331	4
NM_001001342	2
NM_001001343	4
NM_001001344	2
NM_001001346	3
NM_001001349	2
NM_001001389	2
NM_001001390	2
NM_001001391	2
NM_001001392	2
NM_001001394	4
NM_001001395	2
NM_001001396	2
NM_001001410	3
NM_001001411	3
NM_001001412	3
NM_001001413	3
NM_001001414	2
NM_001001415	4
NM_001001417	6
NM_001001418	6
NM_001001419	3
NM_001001420	2
NM_001001430	3
NM_001001431	3
NM_001001432	3
NM_001001433	3
NM_001001436	4
NM_001001437	4
NM_001001438	2
NM_001001479	4
NM_001001480	2
NM_001001481	4
NM_001001483	2
NM_001001484	2
NM_001001485	2
NM_001001486	1
NM_001001487	1
NM_001001502	3
NM_001001503	2
NM_001001520	3
NM_001001521	1
NM_001001522	2
NM_001001523	2
NM_001001524	3
NM_001001547	3
NM_001001548	2
NM_001001549	3
NM_001001550	3
NM_001001551	4
NM_001001552	5
NM_001001555	3
NM_001001556	3
NM_001001557	4
NM_001001560	2
NM_001001563	5
NM_001001567	1
NM_001001568	1
NM_001001569	1
NM_001001570	1
NM_001001571	1
NM_001001572	1
NM_001001573	1
NM_001001574	1
NM_001001575	1
NM_001001576	1
NM_001001577	1
NM_001001578	1
NM_001001579	1
NM_001001580	1
NM_001001581	1
NM_001001582	1
NM_001001583	1
NM_001001584	2
NM_001001585	1
NM_001001653	3
NM_001001655	2
NM_001001656	1
NM_001001657	1
NM_001001658	1
NM_001001659	1
NM_001001660	3
NM_001001661	3
NM_001001662	3
NM_001001663	3
NM_001001664	3
NM_001001665	3
NM_001001666	4
NM_001001667	1
NM_001001668	4
NM_001001669	3
NM_001001670	3
NM_001001671	3
NM_001001673	3
NM_001001674	1
NM_001001676	1
NM_001001683	4
NM_001001694	3
NM_001001701	4
NM_001001710	3
NM_001001711	3
NM_001001712	3
NM_001001713	1
NM_001001715	4
NM_001001722	1
NM_001001732	3
NM_001001734	1
NM_001001740	3
NM_001001786	3
NM_001001788	4
NM_001001790	3
NM_001001794	4
NM_001001795	2
NM_001001802	2
NM_001001821	1
NM_001001824	1
NM_001001827	1
NM_001001850	3
NM_001001851	2
NM_001001852	4
NM_001001872	4
NM_001001874	3
NM_001001875	4
NM_001001877	1
NM_001001888	4
NM_001001890	3
NM_001001894	2
NM_001001895	3
NM_001001912	2
NM_001001913	1
NM_001001914	1
NM_001001915	1
NM_001001916	2
NM_001001917	2
NM_001001918	1
NM_001001919	1
NM_001001920	2
NM_001001921	1
NM_001001922	2
NM_001001923	1
NM_001001924	2
NM_001001925	2
NM_001001928	3
NM_001001931	2
NM_001001933	1
NM_001001935	3
NM_001001936	3
NM_001001937	1
NM_001001938	3
NM_001001952	1
NM_001001953	1
NM_001001954	1
NM_001001955	2
NM_001001956	1
NM_001001957	2
NM_001001958	1
NM_001001959	1
NM_001001960	1
NM_001001961	1
NM_001001963	1
NM_001001964	1
NM_001001965	1
NM_001001966	1
NM_001001967	1
